Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20191229,Biguanide,,DENTON PHARMA INC DBA NORTHWIND PHARMACEUTICALS,2018/06/11-,70934-135,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/70941fc7-9865-4966-e053-2a91aa0a86ec/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=70941fc7-9865-4966-e053-2a91aa0a86ec,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=70941fc7-9865-4966-e053-2a91aa0a86ec,70941fc7-9865-4966-e053-2a91aa0a86ec
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20191113,Biguanide,,QPHARMA INC,2017/02/06-,42708-009; 42708-018,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/06ade2e1-5981-4e3d-b7e9-7ff083eb4551/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=06ade2e1-5981-4e3d-b7e9-7ff083eb4551,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=06ade2e1-5981-4e3d-b7e9-7ff083eb4551,06ade2e1-5981-4e3d-b7e9-7ff083eb4551
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20191030,Biguanide,,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,2018/08/17-,55700-669,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/dac78f8d-67f9-41d5-9540-39cae34f3a98/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dac78f8d-67f9-41d5-9540-39cae34f3a98,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dac78f8d-67f9-41d5-9540-39cae34f3a98,dac78f8d-67f9-41d5-9540-39cae34f3a98
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20190613,Biguanide,,BRYANT RANCH PREPACK,2017/02/06-,71335-1072,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4bdd2faa-2125-4139-b958-196393e31b7e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4bdd2faa-2125-4139-b958-196393e31b7e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4bdd2faa-2125-4139-b958-196393e31b7e,4bdd2faa-2125-4139-b958-196393e31b7e
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20190611,Biguanide,,BRYANT RANCH PREPACK,2017/02/06-,63629-7694,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7cb3ab09-ac05-40b6-a324-b7d639149ebb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7cb3ab09-ac05-40b6-a324-b7d639149ebb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7cb3ab09-ac05-40b6-a324-b7d639149ebb,7cb3ab09-ac05-40b6-a324-b7d639149ebb
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20190426,Biguanide,,A S MEDICATION SOLUTIONS,2017/02/06-,50090-3064,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4e345b8c-57ab-4f09-9cbe-1d255e9354ba/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4e345b8c-57ab-4f09-9cbe-1d255e9354ba,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4e345b8c-57ab-4f09-9cbe-1d255e9354ba,4e345b8c-57ab-4f09-9cbe-1d255e9354ba
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20190117,Biguanide,,DENTON PHARMA INC DBA NORTHWIND PHARMACEUTICALS,2019/01/11-,70934-212,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7faf5b74-d7e8-7983-e053-2991aa0abd72/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7faf5b74-d7e8-7983-e053-2991aa0abd72,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7faf5b74-d7e8-7983-e053-2991aa0abd72,7faf5b74-d7e8-7983-e053-2991aa0abd72
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20181121,Biguanide,,NUCARE PHARMACEUTICALS INC,2017/02/06-,68071-4420,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6bb40362-ff8f-4c3e-e053-2a91aa0ab66a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6bb40362-ff8f-4c3e-e053-2a91aa0ab66a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6bb40362-ff8f-4c3e-e053-2a91aa0ab66a,6bb40362-ff8f-4c3e-e053-2a91aa0ab66a
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20170511,Biguanide,,CAMBRIDGE THERAPEUTICS TECHNOLOGIES LLC,2017/02/06-,70882-124,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/affda99e-5aa7-4d78-971f-41d9a151b5c5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=affda99e-5aa7-4d78-971f-41d9a151b5c5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=affda99e-5aa7-4d78-971f-41d9a151b5c5,affda99e-5aa7-4d78-971f-41d9a151b5c5
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20170207,Biguanide,,ASCEND LABORATORIES LLC,2017/02/06-,67877-561; 67877-562; 67877-563,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2d98aea3-35ba-447a-b88f-a5a20b612b2f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2d98aea3-35ba-447a-b88f-a5a20b612b2f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2d98aea3-35ba-447a-b88f-a5a20b612b2f,2d98aea3-35ba-447a-b88f-a5a20b612b2f
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,078321;090295,METFORMIN HYDROCHLORIDE; METFORMIN HYDROCHLORIDE EXTENDED RELEASE,METFORMIN HYDROCHLORIDE,20201014,Biguanide,,DIRECT RX,2020/06/17-; 2020/10/14-,72189-064; 72189-150,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a84cf1a3-3820-cd1b-e053-2995a90acf45/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a84cf1a3-3820-cd1b-e053-2995a90acf45,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a84cf1a3-3820-cd1b-e053-2995a90acf45,a84cf1a3-3820-cd1b-e053-2995a90acf45
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,206145,Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,20201013,Biguanide,1995,A S MEDICATION SOLUTIONS,2018/10/27-,50090-5246,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/056072d8-6228-4914-831d-ee7c0661b742/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=056072d8-6228-4914-831d-ee7c0661b742,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=056072d8-6228-4914-831d-ee7c0661b742,056072d8-6228-4914-831d-ee7c0661b742
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,77336,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,20201012,Biguanide,1995,BRYANT RANCH PREPACK,2006/02/09-,63629-2883,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5270d04e-f4f7-1305-1b60-d7eec0a042f9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5270d04e-f4f7-1305-1b60-d7eec0a042f9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5270d04e-f4f7-1305-1b60-d7eec0a042f9,5270d04e-f4f7-1305-1b60-d7eec0a042f9
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,75967,Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,20201012,Biguanide,,BRYANT RANCH PREPACK,2002/01/29-,63629-1397,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e0677ab0-23d3-2e88-780f-d949fcf10557/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e0677ab0-23d3-2e88-780f-d949fcf10557,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e0677ab0-23d3-2e88-780f-d949fcf10557,e0677ab0-23d3-2e88-780f-d949fcf10557
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,201991,METFORMIN HYDROCHLORIDE ER,METFORMIN HYDROCHLORIDE,20201008,Biguanide,1995,APHENA PHARMA SOLUTIONS TENNESSEE LLC,2013/11/01-,71610-457,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f0371d2a-276b-4acb-80f8-e24fb8ceae19/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f0371d2a-276b-4acb-80f8-e24fb8ceae19,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f0371d2a-276b-4acb-80f8-e24fb8ceae19,f0371d2a-276b-4acb-80f8-e24fb8ceae19
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,metformin hydrochloride,METFORMIN HYDROCHLORIDE,20201007,Biguanide,1995,APHENA PHARMA SOLUTIONS TENNESSEE LLC,2010/04/22-,71610-467,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c94fc3c1-2cfa-4fc8-8081-96eb6ba41863/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c94fc3c1-2cfa-4fc8-8081-96eb6ba41863,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c94fc3c1-2cfa-4fc8-8081-96eb6ba41863,c94fc3c1-2cfa-4fc8-8081-96eb6ba41863
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,78321,Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,20201005,Biguanide,1995,REMEDYREPACK INC,2020/04/24-,70518-2709,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1503bbe4-0ac5-479b-9900-d38e49236bf0/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1503bbe4-0ac5-479b-9900-d38e49236bf0,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1503bbe4-0ac5-479b-9900-d38e49236bf0,1503bbe4-0ac5-479b-9900-d38e49236bf0
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,metformin hydrochloride,METFORMIN HYDROCHLORIDE,20201002,Biguanide,1995,REMEDYREPACK INC,2019/01/02-,70518-1766,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0b80ebed-1214-4c98-8c3d-77b7a04fe565/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0b80ebed-1214-4c98-8c3d-77b7a04fe565,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0b80ebed-1214-4c98-8c3d-77b7a04fe565,0b80ebed-1214-4c98-8c3d-77b7a04fe565
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,90295,METFORMIN HYDROCHLORIDE EXTENDED RELEASE,METFORMIN HYDROCHLORIDE,20200923,Biguanide,,BRYANT RANCH PREPACK,2016/05/12-; completed:2016/05/12-2019/12/31,71335-0293; 71335-0889,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3e55944a-ed5b-4892-804f-abbe15b0d70c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3e55944a-ed5b-4892-804f-abbe15b0d70c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3e55944a-ed5b-4892-804f-abbe15b0d70c,3e55944a-ed5b-4892-804f-abbe15b0d70c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,metformin hydrochloride,METFORMIN HYDROCHLORIDE,20200921,Biguanide,1995,REMEDYREPACK INC,2016/12/19-,70518-0071,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6eade449-a4d6-4c58-b02e-53b9f7bf8dd5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6eade449-a4d6-4c58-b02e-53b9f7bf8dd5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6eade449-a4d6-4c58-b02e-53b9f7bf8dd5,6eade449-a4d6-4c58-b02e-53b9f7bf8dd5
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, COATED",ORAL,ANDA,205096,Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,20200920,Biguanide,1995,BRYANT RANCH PREPACK,2019/05/01-,71335-1288; 71335-1289; 71335-1303,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c2cc6c06-63bb-45f0-b318-78912abb392f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c2cc6c06-63bb-45f0-b318-78912abb392f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c2cc6c06-63bb-45f0-b318-78912abb392f,c2cc6c06-63bb-45f0-b318-78912abb392f
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,77336,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,20200914,Biguanide,1995,REMEDYREPACK INC,2018/10/29-,70518-1606,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/61492681-4be8-448b-b4c6-ef2261503d1a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=61492681-4be8-448b-b4c6-ef2261503d1a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=61492681-4be8-448b-b4c6-ef2261503d1a,61492681-4be8-448b-b4c6-ef2261503d1a
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,90295,METFORMIN HYDROCHLORIDE EXTENDED RELEASE,METFORMIN HYDROCHLORIDE,20200903,Biguanide,,PD RX PHARMACEUTICALS INC,2016/05/12-,72789-009,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/14f3091c-f243-4364-b433-727c7d4ef8d5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=14f3091c-f243-4364-b433-727c7d4ef8d5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=14f3091c-f243-4364-b433-727c7d4ef8d5,14f3091c-f243-4364-b433-727c7d4ef8d5
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,75973,Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,20200901,Biguanide,,CARDINAL HEALTH,completed:2012/12/14-2021/03/31,55154-6296,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f3dd4bbd-d30f-474a-9eba-2089c6bcdc52/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f3dd4bbd-d30f-474a-9eba-2089c6bcdc52,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f3dd4bbd-d30f-474a-9eba-2089c6bcdc52,f3dd4bbd-d30f-474a-9eba-2089c6bcdc52
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,077064;203686,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,20200901,Biguanide,,CADILA HEALTHCARE LIMITED,2005/09/28-; 2014/12/09-,65841-028; 65841-029; 65841-030; 65841-809; 65841-810; 65841-811,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5043d03e-3c9d-4c96-b48d-187f02a1d27c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5043d03e-3c9d-4c96-b48d-187f02a1d27c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5043d03e-3c9d-4c96-b48d-187f02a1d27c,5043d03e-3c9d-4c96-b48d-187f02a1d27c
